MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
,,,,,,0,Appliances,Large Appliances,Dishwashers,1515800,MDB8959SKZ,MDB8959SKZ Maytag Top Control Dishwasher 47 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,Maytag,,MDB8959SKZ,,Appliances & Large Appliances & Dishwashers,"Maytag, Dishwasher, MDB8959SKZ, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 47DBA,"Maytag® MDB8959SKZ Dishwasher, Built-in Mounting, Stainless Steel","Maytag® Dishwasher, 120 V, 15 A, Built-in Mounting, 47 dBA Sound Level, Stainless Steel, Stainless Steel","Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,1,Appliances,Large Appliances,Dishwashers,1515801,DWHD650WFP,DWHD650WFP Thermador Sapphire Series Dishwasher 40 dBA 120V 15A Panel Ready,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grainger Industrial Supply,BSH Home Appliances,Thermador,,DWHD650WFP,,Appliances & Large Appliances & Dishwashers,"Thermador, Dishwasher, DWHD650WFP, Built-in Mounting",DISHWASHER BLTLN PLS 120V 15A 40DBA,"Thermador® DWHD650WFP Dishwasher, Built-in Mounting","Thermador® Dishwasher, 120 V, 15 A, Built-in Mounting, 40 dBA Sound Level","Dishwasher, Built-in Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,40,dBA,Material,,,Color,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,2,Appliances,Large Appliances,Dishwashers,1515802,BDF450,BDF450 Beko Front Control Dishwasher 45 dBA 120V 12A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,MSC Industrial Supply,Arçelik,Beko,,BDF450,,Appliances & Large Appliances & Dishwashers,"Beko, Dishwasher, BDF450, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 12A 45DBA,"Beko® BDF450 Dishwasher, Built-in Mounting, Stainless Steel","Beko® Dishwasher, 120 V, 12 A, Built-in Mounting, 45 dBA Sound Level, Stainless Steel, Stainless Steel","Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,12,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,45,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,3,Appliances,Large Appliances,Dishwashers,1515803,DD24SDFT9N,DD24SDFT9N Fisher Paykel Double DishDrawer 44 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Fastenal Company,Fisher & Paykel Appliances,Fisher & Paykel,,DD24SDFT9N,,Appliances & Large Appliances & Dishwashers,"Fisher & Paykel, Dishwasher, DD24SDFT9N, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 44DBA,"Fisher & Paykel® DD24SDFT9N Dishwasher, Built-in Mounting, Stainless Steel","Fisher & Paykel® Dishwasher, 120 V, 15 A, Built-in Mounting, 44 dBA Sound Level, Stainless Steel, Stainless Steel","Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,4,Appliances,Large Appliances,Dishwashers,1515804,WDT750SAKZ,WDT750SAKZ Whirlpool Top Control Dishwasher 47 dBA 120V 15A Fingerprint Resistant,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Whirlpool Corporation,Whirlpool®,,WDT750SAKZ,,Appliances & Large Appliances & Dishwashers,"Whirlpool, Dishwasher, Eco Series, WDT750SAKZ, Built-in Mounting",DISHWASHER BLTLN PLS 120V 15A 47DBA,"Whirlpool® Eco Series WDT750SAKZ Dishwasher, Built-in Mounting","Whirlpool® Dishwasher, Eco Series, 120 V, 15 A, Built-in Mounting, 47 dBA Sound Level","Eco Series Dishwasher, Built-in Mounting",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,Eco Series,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,47,dBA,Material,,,Color,,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,5,Appliances,Large Appliances,Dishwashers,1515805,KDTM404KPS,KDTM404KPS KitchenAid 44 dBA Dishwasher PrintShield Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE),Whirlpool Corporation,KitchenAid,,KDTM404KPS,,Appliances & Large Appliances & Dishwashers,"KitchenAid, Dishwasher, PrintShield Series, KDTM404KPS, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 44DBA,"KitchenAid® PrintShield Series KDTM404KPS Dishwasher, Built-in Mounting, Stainless Steel","KitchenAid® Dishwasher, PrintShield Series, 120 V, 15 A, Built-in Mounting, 44 dBA Sound Level, Stainless Steel, Stainless Steel","PrintShield Series Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,PrintShield Series,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,44,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,6,Appliances,Large Appliances,Dishwashers,1515806,GDF650SSVSS,GDF650SSVSS GE Front Control Dishwasher 51 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Grainger Industrial Supply,GE Appliances,GE,,GDF650SSVSS,,Appliances & Large Appliances & Dishwashers,"GE, Dishwasher, GDF650SSVSS, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 51DBA,"GE® GDF650SSVSS Dishwasher, Built-in Mounting, Stainless Steel","GE® Dishwasher, 120 V, 15 A, Built-in Mounting, 51 dBA Sound Level, Stainless Steel, Stainless Steel","Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,51,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,7,Appliances,Large Appliances,Dishwashers,1515807,FFID2426TS,FFID2426TS Frigidaire Built-In Dishwasher 54 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Rheem Manufacturing,FRIGIDAIRE®,,FFID2426TS,,Appliances & Large Appliances & Dishwashers,"Rheem Manufacturing FRIGIDAIRE, Dishwasher, Professional Series, FFID2426TS, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 54DBA,"FRIGIDAIRE® Professional Series FFID2426TS Dishwasher, Built-in Mounting, Stainless Steel","FRIGIDAIRE® Dishwasher, Professional Series, 120 V, 15 A, Built-in Mounting, 54 dBA Sound Level, Stainless Steel, Stainless Steel","Professional Series Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,Professional Series,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,54,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
https://www.samsung.com/us/support/model/DW80CG5450SR/AA/,,,,,,8,Appliances,Large Appliances,Dishwashers,1515808,DW80CG5450SR,DW80CG5450SR Samsung StormWash Dishwasher 42 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Jam Industrial Supply LLC (JAMIN),Samsung Electronics,Samsung,,DW80CG5450SR,,Appliances & Large Appliances & Dishwashers,"Samsung, Dishwasher, DW80CG5450SR, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 42DBA,"Samsung® DW80CG5450SR Dishwasher, Built-in Mounting, Stainless Steel","Samsung® Dishwasher, 120 V, 15 A, Built-in Mounting, 42 dBA Sound Level, Stainless Steel, Stainless Steel","Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,42,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
,,,,,,9,Appliances,Large Appliances,Dishwashers,1515809,LDTS5551D,LDTS5551D LG Top Control Dishwasher QuadWash 46 dBA 120V 15A Stainless Steel,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,MSC Industrial Supply,LG Electronics,LG,,LDTS5551D,,Appliances & Large Appliances & Dishwashers,"LG, Dishwasher, Quadwash, LDTS5551D, Built-in Mounting",DISHWASHER BLTLN SST SST 120V 15A 46DBA,"LG® Quadwash LDTS5551D Dishwasher, Built-in Mounting, Stainless Steel","LG® Dishwasher, Quadwash, 120 V, 15 A, Built-in Mounting, 46 dBA Sound Level, Stainless Steel, Stainless Steel","Quadwash Dishwasher, Built-in Mounting, Stainless Steel, Stainless Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,Dishwashers,Series,Quadwash,,Model,,,Number of Wash Cycles,,,Voltage Rating,120,V,Amperage Rating,15,A,Mounting Type,Built-in,,Plug Type,,,Size,,,Depth With Door Open,,,Minimum Height,,,Maximum Height,,,Sound Level,46,dBA,Material,Stainless Steel,,Color,Stainless Steel,,Additional Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
