row_index,mfg_part_num,part_desc,brand_e1,brand_unilog,brand_dib,part_manuf,placeholder_flags,coarse_category,is_dishwasher,classification_method
0,PF-1001,"1/2"" FIP x 3/8"" OD Compression Angle Stop",,,,Plumbing Parts Inc (PFINC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
1,PF-1002,"3/4"" Hose Bibb - Frost Free",,,,Plumbing Parts Inc (PFINC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
2,PF-1003,"1"" Brass Ball Valve - Full Port",,,,Valve Supply Co (VSC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing,False,rule-based-fallback
3,PF-1004,"1/2"" CPVC Socket - Schedule 80",,,,Pipe Fittings Ltd (PFL),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
4,PF-1005,"3/8"" x 1/2"" Reducing Coupling - Brass",,,,Valve Supply Co (VSC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing,False,rule-based-fallback
5,PF-1006,"1-1/4"" ABS DWV Trap Adapter",,,,Pipe Fittings Ltd (PFL),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
6,PF-1007,"1/2"" Copper Tube x Female Adapter - Lead Free",,,,Plumbing Parts Inc (PFINC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
7,PF-1008,"3/4"" PEX-A Expansion Sleeve - Brass",,,,Plumbing Parts Inc (PFINC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
8,PF-1009,"1/4"" NPT x 1/4"" OD Tube Fitting - 316SS",,,,Valve Supply Co (VSC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Plumbing,False,rule-based-fallback
9,PF-1010,"1/2"" Chrome Escutcheon - Round",,,,Plumbing Parts Inc (PFINC),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
10,FS-2001,"1/4""-20 x 1-1/2"" Hex Bolt - Grade 5 - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
11,FS-2002,"#10-24 x 1/2"" Phillips Pan Head Machine Screw - 18-8 SS",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
12,FS-2003,"3/8""-16 x 3"" Hex Nut - Grade A - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
13,FS-2004,"1/2"" Flat Washer - SAE - Hardened",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Appliances > Large Appliances > Other,False,rule-based-fallback
14,FS-2005,"5/16"" Rivet - Aluminum - Mandrel Break",,,,Rivet Supply (RIVSP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
15,FS-2006,"1/4"" x 3/4"" Sleeve Anchor - Zinc",,,,Anchor World (ANCRW),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
16,FS-2007,M6 x 1.0 x 20mm Socket Head Cap Screw - 12.9,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
17,FS-2008,"#6 x 3/4"" Self-Tapping Sheet Metal Screw - Phillips - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
18,FS-2009,"3/8"" x 2"" Concrete Wedge Anchor - 304SS",,,,Anchor World (ANCRW),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
19,FS-2010,"1/2"" Lock Washer - Split - Spring Steel",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Appliances > Large Appliances > Other,False,rule-based-fallback
20,FS-2011,8mm x 30mm Dowel Pin - Hardened,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
21,FS-2012,"1/4""-20 Wing Nut - Zinc Plated",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
22,FS-2013,"5/32"" x 1/2"" Cotter Pin - Steel - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Uncategorized,False,rule-based-fallback
23,FS-2014,M10 x 1.5 x 30mm Hex Bolt - Grade 8.8 - Zinc,,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
24,FS-2015,"#8-32 x 3/8"" Socket Set Screw - Cup Point - Alloy Steel",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
25,FS-2016,"3/4"" x 6"" Anchor Bolt - Galvanized",,,,Anchor World (ANCRW),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
26,FS-2017,"1/2"" x 1-1/2"" Carriage Bolt - Grade 5 - Zinc",,,,Fastener Depot (FSTDP),"{'brand_e1': True, 'brand_unilog': True, 'brand_dib': True, 'part_manuf': False}",Fasteners,False,rule-based-fallback
